"Construct", "Probability", "logOddsRatio", "Hyperprior_density", "Mean_probability_hyperprior", "Variance_hyperprior", "Hyperprior_density_cumsum", "Hyperprior_density_CI", "Log_Odds_hyperprior", "Hyperprior_logOdds", "Hyperprior_logOdds_cumsum", "Hyperprior_logOdds_CI", "logOR_expert_elicitation_task", "variance_expert_elicitation_task", "Prior_qual_density", "Prior_qual_density_cumsum", "Prior_qual_density_CI", "p_Prior_qual", "Prior_qual_quantile_0.05", "Prior_qual_quantile_0.95", "Posterior_qual_only_mean", "Posterior_qual_only_variance", "Posterior_qual_only", "Posterior_qual_only_cumsum", "Posterior_qual_only_CI", "Posterior_qual_only_quantile_0.05", "Posterior_qual_only_quantile_0.95", "LOGOdds_Ratio_quant", "variance_quant", "Likelihood", "Likelihood_cumsum", "Likelihood_CI", "p_Likelihood", "Likelihood_qual_quantile_0.05", "Likelihood_qual_quantile_0.95", "posterior_QualplusQuant_mean", "posterior_QualplusQuant_variance", "Posterior_QualplusQuant", "Posterior_QualplusQuant_cumsum", "Posterior_QualplusQuant_CI", "p_Posterior_QualplusQuant", "Posterior_QualplusQuant_quantile_0.05", "Posterior_QualplusQuant_quantile_0.95", "posterior_All_mean", "posterior_All_variance", "posterior_All", "posterior_All_cumsum", "posterior_All_CI", "posterior_All_quantile_0.05", "posterior_All_quantile_0.95"
"6MWT", 0.01001001001001, -0.96996996996997, 9.1680524605979e-111, 0.433382295, 0.0189523150981809, 1.32202363806278e-110, "outside CI", -0.268064597507936, 9.08105866210244e-300, 9.1064867276368e-300, "outside CI", 0.0200070434215421, 0.13421053, 1.36692209889046e-14, 7.48403389316821e-14, "outside CI", 8.13750752798819e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 4.64913487040895e-42, 1.98855041615484e-41, "outside CI", 1.88517893029564e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 1.44888969829448e-96, 2.5346798253587e-96, "outside CI", 1.70953250514928e-96, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.011011011011011, -0.966966966966967, 2.97906711408085e-110, 0.433382295, 0.0189523150981809, 4.30109075214363e-110, "outside CI", -0.268064597507936, 3.17132122850579e-297, 3.18042771523342e-297, "outside CI", 0.0200070434215421, 0.13421053, 1.61181079520488e-14, 9.09584468837309e-14, "outside CI", 9.62357439709087e-14, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 5.94045016726613e-42, 2.58259543288145e-41, "outside CI", 2.41203691943072e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 3.37219628735751e-96, 5.90687611271621e-96, "outside CI", 3.98657312471302e-96, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.012012012012012, -0.963963963963964, 9.65321479820006e-110, 0.433382295, 0.0189523150981809, 1.39543055503437e-109, "outside CI", -0.268064597507936, 1.08004127569233e-294, 1.08322170340756e-294, "outside CI", 0.0200070434215421, 0.13421053, 1.89962083365273e-14, 1.09954655220258e-13, "outside CI", 1.13754245342791e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 7.58790396253776e-42, 3.34138582913523e-41, "outside CI", 3.08511501727197e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 7.83562036659768e-96, 1.37424964793139e-95, "outside CI", 9.28125627822586e-96, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.013013013013013, -0.960960960960961, 3.11926403329941e-109, 0.433382295, 0.0189523150981809, 4.51469458833378e-109, "outside CI", -0.268064597507936, 3.58704509524053e-292, 3.59787731227461e-292, "outside CI", 0.0200070434215421, 0.13421053, 2.23770254682227e-14, 1.32331680688481e-13, "outside CI", 1.34395596796035e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 9.68901326716059e-42, 4.31028715585129e-41, "outside CI", 3.94470749839276e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 1.81767797986437e-95, 3.19192762779575e-95, "outside CI", 2.15723997580583e-95, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.014014014014014, -0.957957957957958, 1.00512665504131e-108, 0.433382295, 0.0189523150981809, 1.45659611387469e-108, "outside CI", -0.268064597507936, 1.1617954862703e-289, 1.16539336358258e-289, "outside CI", 0.0200070434215421, 0.13421053, 2.63463439224632e-14, 1.58678024610944e-13, "outside CI", 1.58704305137148e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 1.23678022372731e-41, 5.5470673795786e-41, "outside CI", 5.04213292418201e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 4.20962611322896e-95, 7.40155374102472e-95, "outside CI", 5.00581534790035e-95, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.015015015015015, -0.954954954954955, 3.22981708738869e-108, 0.433382295, 0.0189523150981809, 4.68641320126339e-108, "outside CI", -0.268064597507936, 3.66960144473812e-287, 3.68125537837395e-287, "outside CI", 0.0200070434215421, 0.13421053, 3.10042282714071e-14, 1.89682252882351e-13, "outside CI", 1.87317622698226e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 1.57819538981637e-41, 7.12526276939497e-41, "outside CI", 6.44272830097185e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 9.73314341595759e-95, 1.71346971569823e-94, "outside CI", 1.15967386277454e-94, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.016016016016016, -0.951951951951952, 1.03495996499168e-107, 0.433382295, 0.0189523150981809, 1.50360128511802e-107, "outside CI", -0.268064597507936, 1.13032797502828e-284, 1.13400923040665e-284, "outside CI", 0.0200070434215421, 0.13421053, 3.64673380679927e-14, 2.26149590950344e-13, "outside CI", 2.20980956553379e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 2.01318768536948e-41, 9.13845045476445e-41, "outside CI", 8.22965039878286e-41, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 2.24670338530615e-94, 3.96017310100438e-94, "outside CI", 2.6821409469453e-94, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.017017017017017, -0.948948948948949, 3.30717866835207e-107, 0.433382295, 0.0189523150981809, 4.81077995347009e-107, "outside CI", -0.268064597507936, 3.39536462360554e-282, 3.4067047159096e-282, "outside CI", 0.0200070434215421, 0.13421053, 4.28716075966627e-14, 2.69021198547007e-13, "outside CI", 2.60565770772912e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 2.56721958038512e-41, 1.17056700351496e-40, "outside CI", 1.05087001779904e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 5.17751512020561e-94, 9.13768822120999e-94, "outside CI", 6.19315592290532e-94, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.018018018018018, -0.945945945945946, 1.05385352042393e-106, 0.433382295, 0.0189523150981809, 1.53493151577094e-106, "outside CI", -0.268064597507936, 9.94637267352025e-280, 9.98043972067935e-280, "outside CI", 0.0200070434215421, 0.13421053, 5.03753461249369e-14, 3.19396544671943e-13, "outside CI", 3.07090373707798e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 3.27263088305546e-41, 1.4978300918205e-40, "outside CI", 1.34144436006023e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 1.19118723605425e-93, 2.10495605817525e-93, "outside CI", 1.42766768378877e-93, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.019019019019019, -0.942942942942943, 3.34881632573932e-106, 0.433382295, 0.0189523150981809, 4.88374784151026e-106, "outside CI", -0.268064597507936, 2.84144595751665e-277, 2.85142639723733e-277, "outside CI", 0.0200070434215421, 0.13421053, 5.91628226246783e-14, 3.78559367296622e-13, "outside CI", 3.61744042056936e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 4.17048236285985e-41, 1.91487832810649e-40, "outside CI", 1.71179745324819e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 2.73603535864155e-93, 4.8409914168168e-93, "outside CI", 3.28569273507222e-93, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.02002002002002, -0.93993993993994, 1.06118448260493e-105, 0.433382295, 0.0189523150981809, 1.54955926675596e-105, "outside CI", -0.268064597507936, 7.91608480900333e-275, 7.9445990729757e-275, "outside CI", 0.0200070434215421, 0.13421053, 6.94484083391939e-14, 4.48007775635816e-13, "outside CI", 4.25915002038096e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 5.31288982536729e-41, 2.44616731064322e-40, "outside CI", 2.1836756918309e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 6.27402722901327e-93, 1.11150186458301e-92, "outside CI", 7.54938330011074e-93, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.021021021021021, -0.936936936936937, 3.35335041575327e-105, 0.433382295, 0.0189523150981809, 4.90290968250923e-105, "outside CI", -0.268064597507936, 2.15069012599138e-272, 2.15863472506435e-272, "outside CI", 0.0200070434215421, 0.13421053, 8.14813613123066e-14, 5.29489136948122e-13, "outside CI", 5.01222866611312e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 6.76597809724967e-41, 3.12276512036818e-40, "outside CI", 2.78470989003192e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 1.43632960448412e-92, 2.54783146906713e-92, "outside CI", 1.73173215677757e-92, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.022022022022022, -0.933933933933934, 1.05670915716053e-104, 0.433382295, 0.0189523150981809, 1.54700012541145e-104, "outside CI", -0.268064597507936, 5.69825144110517e-270, 5.71983778835582e-270, "outside CI", 0.0200070434215421, 0.13421053, 9.55513492493319e-14, 6.25040486197454e-13, "outside CI", 5.89556217812204e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 8.6136182808265e-41, 3.98412694845083e-40, "outside CI", 3.54999573082294e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 3.2828031671943e-92, 5.83063463626143e-92, "outside CI", 3.9658354487252e-92, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.023023023023023, -0.930930930930931, 3.32063000981794e-104, 0.433382295, 0.0189523150981809, 4.86763013522939e-104, "outside CI", -0.268064597507936, 1.47231840711145e-267, 1.4780382448998e-267, "outside CI", 0.0200070434215421, 0.13421053, 1.11994821052052e-13, 7.37035307249506e-13, "outside CI", 6.93116126456422e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 1.09621543440545e-40, 5.08034238285628e-40, "outside CI", 4.52409548395897e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 7.49063429702229e-92, 1.33212689332837e-91, "outside CI", 9.06720405538344e-92, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.024024024024024, -0.927927927927928, 1.04057644559638e-103, 0.433382295, 0.0189523150981809, 1.52733945911932e-103, "outside CI", -0.268064597507936, 3.70986613796181e-265, 3.72464652041081e-265, "outside CI", 0.0200070434215421, 0.13421053, 1.3120235329111e-13, 8.68237660540616e-13, "outside CI", 8.14466519606198e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 1.39463788926867e-40, 6.47498027212496e-40, "outside CI", 5.7635724174037e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 1.70637847802056e-91, 3.03850537134894e-91, "outside CI", 2.0696496085126e-91, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.025025025025025, -0.924924924924925, 3.25174123700218e-103, 0.433382295, 0.0189523150981809, 4.7790806961215e-103, "outside CI", -0.268064597507936, 9.11614243013306e-263, 9.15338889533716e-263, "outside CI", 0.0200070434215421, 0.13421053, 1.53627116010325e-13, 1.02186477655094e-12, "outside CI", 9.56592441323316e-13, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 1.77370856742924e-40, 8.2486888395542e-40, "outside CI", 7.34019856658798e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 3.88074542462871e-91, 6.91925079597765e-91, "outside CI", 4.71633891220336e-91, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.026026026026026, -0.921921921921922, 1.01331961882317e-102, 0.433382295, 0.0189523150981809, 1.49122768843532e-102, "outside CI", -0.268064597507936, 2.18454165090548e-260, 2.19369503980082e-260, "outside CI", 0.0200070434215421, 0.13421053, 1.797946228916e-13, 1.20165939944254e-12, "outside CI", 1.12296740672246e-12, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 2.2550611563066e-40, 1.05037499958608e-39, "outside CI", 9.34501337786889e-40, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 8.81125890572207e-91, 1.57305097016997e-90, "outside CI", 1.07299558783534e-90, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
"6MWT", 0.027027027027027, -0.918918918918919, 3.14894741711903e-102, 0.433382295, 0.0189523150981809, 4.64017510555435e-102, "outside CI", -0.268064597507936, 5.1051196112363e-258, 5.1270565616343e-258, "outside CI", 0.0200070434215421, 0.13421053, 2.10313954277217e-13, 1.41197335371976e-12, "outside CI", 1.31763122585064e-12, -0.200749633624037, 0.240763720467121, -0.2324187167707, 0.0166071624774491, 0, 0, "outside CI", -0.259735068205105, -0.205102365336296, 1.24, 0.164493406684823, 2.86608879538211e-40, 1.33698387912429e-39, "outside CI", 1.18934571716831e-39, 0.969432423404866, 1.51056757659513, 0.568161524128731, 0.0739084577782778, 1.99730224455084e-90, 3.57035321472081e-90, "outside CI", 2.43711276398182e-90, 0.44659292928974, 0.689730118967721, -0.09739596682927, 0.0150842636437891, 0, 0, "outside CI", -0.122207372593649, -0.0725845610648914
